item,count
Audi A8,7
Chevrolet Impala,9
Cadillac SRX Crossover,7
Volkswagen Touareg,8
Lincoln MKZ Sedan,4
Acura TSX,10
Cadillac DTS,8
BMW X3,4
Audi Q7,12
Suzuki Equator,15
Mitsubishi Lancer Sportback,3
Volvo C70,6
Porsche 911 Coupe,16
Ford Transit Connect Wagon,2
Suzuki Kizashi,7
Kia Sportage,21
Honda Accord Coup,7
Ford Focus 5-Door,4
Audi A3,8
Subaru Outback,14
Kia Rio 5-Door,4
GMC Yukon XL,27
Infiniti EX,16
Jeep Patriot,23
Toyota Camry,26
Dodge Charger,14
Infiniti IPL G Coupe,4
Jeep Liberty,25
Infiniti QX56,6
Maserati GranTurismo Convertible,2
Chevrolet Suburban Half-Ton,6
Volvo S40,7
BMW 6 Series Coup,1
Audi A7,1
Infiniti FX,9
BMW 7 Series,17
Ferrari 612 Scaglietti,1
GMC Yukon Hybrid,10
Aston Martin V12 Vantage,4
Ford Fusion,29
BMW 3 Series Convertible,17
Ford Explorer,26
Aston Martin V8 Vantage Roadster,5
Mercedes-Benz SL-Class,3
Kia Sorento,22
Jaguar XJ,18
Saab 9-3 Sport Sedan,20
Toyota Venza,8
Rolls-Royce Phantom Drophead Coupe,2
Toyota Land Cruiser,2
Subaru Legacy,19
Lexus IS C,9
Suzuki Grand Vitara,15
Honda Civic Coup,17
Land Rover LR2,4
BMW 5 Series Sports Wagon,2
Maybach Landaulet,3
Jeep Commander,6
Cadillac Escalade ESV,24
Lexus GS,6
model,1
Audi A5 Coupe,7
Toyota Sienna,33
Toyota 4Runner,16
Rolls-Royce Phantom Sedan,4
Transit Connect Van,4
Bentley Continental Supersports,1
Mitsubishi Galant,6
Hyundai Elantra Touring,14
Ford E-150 Wagon,10
Lexus ES,3
Buick Verano,3
Kia Forte,15
Nissan Armada,36
Chevrolet Express,21
Land Rover Range Rover,9
BMW X6,6
Honda Accord Sedan,28
Mercedes-Benz E-Class Wagon,1
Mazda Mazda3 4-Door,26
Volkswagen Routan,12
MINI Cooper Hardtop,15
Kia Rio5,6
Land Rover Range Rover Sport,10
Mazda Mazda5,8
Chevrolet Malibu Hybrid,1
Ford E-250 Van,16
Audi S6,2
Maserati Quattroporte,6
Cadillac CTS-V Wagon,4
Ford E-150 Van,12
Dodge Viper Convertible,1
Chevrolet HHR Panel,8
Aston Martin DB9 Coup,7
Audi TT RS,1
Ford Shelby GT500 Coupe,1
Volvo V70,1
Infiniti M Hybrid,1
Infiniti G37 Coupe,12
Mazda CX-7,13
Aston Martin DB9 Volante,7
Toyota FJ Cruiser,9
Mercedes-Benz GL-Class,6
Transit Connect Wagon,4
Kia Sedona,7
Audi A6 Avant,2
Honda Civic Sedan,35
Bentley Brooklands,1
Acura RL,3
Honda Accord Crosstour Hatchback,9
Mazda Mazda2,8
Porsche Cayman,5
Rolls-Royce Ghost,2
Mercedes-Benz C-Class,20
Chevrolet Cruze,16
Lexus IS,14
Nissan Frontier,55
Porsche 911 Cabriolet,12
Nissan Juke,2
Volkswagen Golf R 4-Door,1
Maserati GranTurismo Coup,4
Audi A5 Cabriolet,3
Cadillac CTS Coupe,14
BMW X5,10
Nissan Pathfinder,33
Toyota Tacoma,38
Ford Edge,25
Ford Taurus,15
Volkswagen Golf 4-Door,6
Lincoln Navigator,10
Lotus Elise,5
BMW ActiveHybrid 7 Sedan,3
Rolls-Royce Phantom Coupe,2
Mitsubishi Outlander Sport,1
Honda Odyssey,14
Toyota Yaris 5-Door Liftback,8
Cadillac SRX,16
Nissan Versa Sedan,13
Suzuki SX4 Sedan,8
Ford Mustang Shelby GT500 Convertible,3
Infiniti M,13
Lincoln MKZ,2
Volvo C30,20
Chrysler Sebring Sedan,3
Chevrolet Corvette Grand Sport Coupe,24
Subaru Impreza WRX Sedan,8
Aston Martin Virage Coup,2
